(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0D917HN9B,B0BBPS53L3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (24oz, 18 Count)",RC-PBL-118060,"1,751",27,0.04%,0.03%,"2,328",41,0.04%,0.04%,99.74%,100.00%,"1,099",12,62.76%,44.44%,"$48,406.74",$551.68,911,7
B06XDLKXG8,B06XDLKXG8,"Buddeez Cupcake And Cake Carrier - Stackable Cupcake Holder, Dessert Carrier For Full Size 14x9 Cake Pans Or 12-Count Cupcake Tray, Cupcake Carrier & Cake Box (Includes Slice-N-Serve Utensil)",RC-BUD-19202R-ONL,"19,495",304,0.41%,0.37%,"26,698",443,0.41%,0.41%,73.58%,82.49%,"1,034",25,5.30%,8.22%,"$29,222.06",$788.38,905,18
B0C46YD6VC,B00MHRE8X4,"Buddeez Flour and Sugar Container - 4 Quart All Purpose Kitchen Organization and Storage Unit, Dry Storage Container For Kitchen, Large Food Storage Container for Organizing Your Pantry (White Lid)",RC-BUD-00606-BAG,"11,837",287,0.25%,0.35%,"16,440",447,0.26%,0.41%,81.25%,78.98%,"1,185",34,10.01%,11.85%,"$22,883.23",$649.39,899,25
B0DDQBT1TB,B09NCMGJCL,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (12oz, 21 Count)",RC-PBL-115816,"3,136",27,0.07%,0.03%,"4,408",31,0.07%,0.03%,99.31%,100.00%,950,5,30.29%,18.52%,"$21,768.55",$114.85,896,5
B0CKWHBDWQ,B0CKG4M5H9,"Red Jumbo Divided Serving Tray - 6 Bins for Party Platter with Lid, Snackle Box Container, Appetizers, Desserts, Snacks & More (by Buddeez)",RB-BUD-18804R-7427-BAG-FBA,"18,057",212,0.38%,0.26%,"23,506",272,0.36%,0.25%,76.26%,88.63%,967,8,5.36%,3.77%,"$23,309.08",$199.76,895,6
B008CQ7E26,B004JR1YJQ,"Myogenix Myovite Multivitamins for Athletes - High Performance Vitamins for Men and Women Athletes, Daily Vitamins for Optimum Nutrition, Muscle Function, and General Health, 44 Packets per Box",RC-MYO-VIT44P022,"2,433",49,0.05%,0.06%,"3,645",60,0.06%,0.05%,98.00%,88.33%,901,6,37.03%,12.24%,"$38,733.93",$257.88,860,6
B0CL77KSXM,B0CJZ3LT6T,"Buddeez Bread Buddy for Small Specialty Loaves, Bread Box, Bread Container, Fresh Bread Dispenser – White Lid",RB-BUD-00306W-BAG-V2-FBA,"34,235",443,0.71%,0.54%,"38,672",495,0.60%,0.45%,94.53%,98.64%,899,6,2.63%,1.35%,"$14,357.01",$95.80,852,6
B00B2FCAGY,B00B2FCAGY,"White Knight M12x1.50 Bulge Acorn Lug Nuts for Selective Aftermarket and Factory Wheels, Easy to Install, Durable Carbon Steel with Stylish Triple Layered Chrome Finish - 1707S-20AM (20 Pack)",RB-WK-1707S-20AM,"23,063",524,0.48%,0.64%,"35,386",748,0.55%,0.68%,29.43%,43.22%,855,44,3.71%,8.40%,"$15,327.48",$791.56,821,30
B0DGMN7QZY,B09NB1XG6T,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (12oz, 48 Count)",RC-PBL-115807,"2,363",24,0.05%,0.03%,"3,439",38,0.05%,0.03%,99.19%,100.00%,853,9,36.10%,37.50%,"$19,610.31",$206.75,818,9
B0BL5CTWCX,B084KV7N6J,"Buddeez Bread Buddy Bread Box – Red Lid, Pack of 2",RC-BUD-00102R-7427-ONL,"13,844",179,0.29%,0.22%,"17,372",239,0.27%,0.22%,75.76%,81.82%,836,17,6.04%,9.50%,"$19,769.57",$412.18,807,13
B0DGMN7QZY,B0BBP799GW,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (24oz, 30 Count)",RC-PBL-118061,"1,434",20,0.03%,0.02%,"1,992",28,0.03%,0.03%,99.28%,100.00%,838,12,58.44%,60.00%,"$38,531.18",$551.70,790,12
B0DGMN7QZY,B09NCMGJCL,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (12oz, 21 Count)",RC-PBL-115816,"2,650",35,0.06%,0.04%,"3,750",52,0.06%,0.05%,99.43%,100.00%,855,10,32.26%,28.57%,"$19,651.47",$229.72,787,10
B0D8841XMR,B085SLZPC7,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Yellow/Gray",RC-SOL-033248,"43,532",801,0.90%,0.98%,"59,861","1,105",0.93%,1.01%,76.12%,76.46%,780,25,1.79%,3.12%,"$167,817.24","$5,452.88",779,25
B0D92J4N4N,B00C8RJ3BA,vetone DuoClenz Enzyme Coated Dental Chews for Medium Size Dogs 30 Count,RC-V1-510058-1,"8,592",122,0.18%,0.15%,"12,439",159,0.19%,0.15%,15.35%,18.31%,950,7,11.06%,5.74%,"$15,631.53",$115.08,775,5
B0DDQBT1TB,B09NB1XG6T,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (12oz, 48 Count)",RC-PBL-115807,"2,467",30,0.05%,0.04%,"3,544",48,0.05%,0.04%,95.10%,100.00%,813,5,32.96%,16.67%,"$18,672.19",$114.67,772,5
B0CL77KSXM,B0CJYXWDB5,"Buddeez Bread Buddy for Wide Pan Loaves, Bread Box, Bread Container, Fresh Home Made Bread Storage Dispenser – White Lid",RB-BUD-02406W-BAG-V2-FBA,"16,297",204,0.34%,0.25%,"18,408",238,0.29%,0.22%,99.82%,98.50%,804,7,4.93%,3.43%,"$13,064.55",$114.00,746,6
B09B4KY7KQ,B088D3295H,"Kimberbell Paper Tape - 1 Roll, Size: 1"" x 10 Yds, Sewing & Machine Embroidery, Easy Attachment, No Sticky Residue, Semi-Transparent, Tears Away with Ease, KDTL100",RB-KB-KDTL100,"5,695",110,0.12%,0.13%,"7,466",145,0.12%,0.13%,66.22%,75.23%,757,15,13.29%,13.64%,"$7,526.09",$149.25,724,15
B096L8QX8M,B096L8QX8M,"Kimberbell Wash Away - Sticky Back Stabilizer, 12”x5 Yd Roll, Water Soluble Machine Embroidery, Washes Out Completely Leaving No Residue, Sewing, Quilting, Piecing Projects, Appliqués, Lace & Crafting",RB-KB-KDST123,"9,822",180,0.20%,0.22%,"13,216",226,0.21%,0.21%,95.63%,90.63%,752,9,7.66%,5.00%,"$31,960.60",$386.82,719,9
B0DJH1T1JC,B0D695WPT3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (36oz, 27 Count)",RB-PBL-124252,"2,218",40,0.05%,0.05%,"2,728",62,0.04%,0.06%,99.78%,100.00%,770,6,34.72%,15.00%,"$51,012.44",$397.44,703,6
B0056EAKSM,B0056EAKSM,"Virbac Epi-Otic Advanced Ear Cleaner, 8 oz",RC-VB-028254-NEW,"24,882",336,0.52%,0.41%,"35,922",452,0.56%,0.41%,0.83%,1.77%,744,5,2.99%,1.49%,"$20,468.67",$135.95,699,4
B0DJH1T1JC,B09NF9TM2H,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (12oz, 6 Count)",RC-PBL-115813,"6,794",106,0.14%,0.13%,"8,205",127,0.13%,0.12%,55.59%,44.07%,821,7,12.08%,6.60%,"$20,495.43",$169.59,695,7
B008DXYTGW,B008DXYTGW,"Vet One Ketohex Spray, 8 oz",RC-V1-510128,"26,619",469,0.55%,0.58%,"40,900",697,0.63%,0.64%,13.55%,15.01%,720,9,2.70%,1.92%,"$12,748.19",$159.64,693,8
B0CBQL1JC5,B0CB9GP7QG,ZENIDOG Long-Acting Collar-Dog Calming Pheromone Collar for Stress Relief - Lasts up to 3 Months by Virbac,RB-VB-119328,"5,467",104,0.11%,0.13%,"7,459",126,0.12%,0.12%,72.71%,73.33%,741,5,13.55%,4.81%,"$29,232.69",$199.95,683,4
B008H9ZZ92,B008H9ZZ92,"Buddeez Flour and Sugar Container - 3.75 Quart All Purpose Kitchen Organization and Storage Unit, Large Food Storage Container For Kitchen and Organizing Your Pantry (with Scoop)",RC-BUD-07006W-V20-BAG,"14,948",277,0.31%,0.34%,"19,741",366,0.31%,0.34%,86.68%,87.54%,916,38,6.13%,13.72%,"$14,718.40",$614.20,658,24
B0CLYS2FZ8,B00U1BV1SS,"Canine Caviar - Free Spirit: Chicken & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (22 Pound Bag)",RC-CAN-801025,"2,323",63,0.05%,0.08%,"3,132",74,0.05%,0.07%,83.06%,80.00%,658,16,28.33%,25.40%,"$68,458.12","$1,663.38",637,16
B0D8841XMR,B09SBTNXXY,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Camo/Gray",RC-SOL-033250,"28,072",507,0.58%,0.62%,"36,325",667,0.56%,0.61%,90.14%,88.58%,631,14,2.25%,2.76%,"$125,698.58","$2,711.90",631,14
B0DGMN7QZY,B0BBPYT5HH,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (24oz, 42 Count)",RC-PBL-118063,"1,544",18,0.03%,0.02%,"2,147",25,0.03%,0.02%,99.32%,100.00%,665,4,43.07%,22.22%,"$30,530.60",$183.86,631,4
B0DDQBT1TB,B0BBP799GW,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (24oz, 30 Count)",RC-PBL-118061,"1,129",10,0.02%,0.01%,"1,498",13,0.02%,0.01%,99.47%,100.00%,640,5,56.69%,50.00%,"$29,289.18",$229.88,609,5
B0CL77KSXM,B0CJZHP5KR,"Buddeez Bread Buddy for Hamburger and Hot Dog Buns - Bun Keeper for Picnic and Camping, Scones, Rolls, Brioches, Croissant – White Lid",RB-BUD-00206W-BAG-V2-FBA,"23,917",300,0.50%,0.37%,"26,627",344,0.41%,0.31%,97.43%,95.88%,723,9,3.02%,3.00%,"$11,514.35",$143.71,589,8
B0D917HN9B,B0BBPVC7XK,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (24oz, 96 Count)",RC-PBL-118064,"1,383",9,0.03%,0.01%,"1,834",10,0.03%,0.01%,99.22%,100.00%,635,5,45.91%,55.56%,"$27,568.84",$229.82,581,4
B0DJH1T1JC,B0DGB6DVZN,"Yummy Combs Dog Dental Treats – Vet VOHC Approved, Removes Tartar & Cleans Teeth – Yummy High Protein Chicken Treat for Small Dogs (Mini Pack, 13 Count)",RC-PBL-125568,"4,535",62,0.09%,0.08%,"5,868",72,0.09%,0.07%,99.58%,100.00%,604,4,13.32%,6.45%,"$13,247.44",$86.22,578,4
B07X7HBL5N,B07X7HBL5N,EFFITIX Plus Topical Solution for Dogs - Waterproof Flea and Tick Treatment for Small Dogs (11-22.9lbs) 3 Doses by Virbac,RB-VB-063676,"4,801",71,0.10%,0.09%,"7,118",104,0.11%,0.10%,89.55%,87.04%,626,5,13.04%,7.04%,"$23,733.91",$187.23,574,5
B0CLYS2FZ8,B00U1BZWFQ,"Canine Caviar - Open Meadow: Lamb & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (11 Pound Bag)",RC-CAN-801018,"3,980",81,0.08%,0.10%,"5,421",109,0.08%,0.10%,86.11%,88.04%,606,5,15.23%,6.17%,"$40,543.72",$324.75,573,5
B000HHQB3Q,B000HHQB3Q,AniMed Remission 4 lb…,RB-ANI-051935M,"3,297",76,0.07%,0.09%,"4,462",104,0.07%,0.10%,48.86%,44.23%,571,14,17.32%,18.42%,"$21,370.34",$527.34,560,13
B09DDB4LJV,B09DDB4LJV,"Kimberbell Flexi Foam Specialty Stabilizer: 24 x 56"", Dimension Interfacting, Cut into Variable Sizes, Strengthen, for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting",RB-KB-KDST132,"8,016",266,0.17%,0.33%,"10,707",384,0.17%,0.35%,95.86%,98.26%,578,13,7.21%,4.89%,"$13,196.94",$298.74,557,11
B0BVY9N8DH,B000QIZZD8,"Buddeez All Purpose Kitchen Organization Bag in Storage Container for Cereal, Flour, Sugar, Rice, 4 QT, White Lid",RC-BUD-00406W-BAG,"8,400",159,0.17%,0.19%,"11,502",223,0.18%,0.20%,76.74%,75.52%,676,19,8.05%,11.95%,"$10,143.85",$278.50,521,8
B01MXXTX61,B01MXXTX61,"Myogenix Advanced Liver Support Capsules - Liver Health Formula, Easy-to-Swallow Capsules, Daily Supplement (120 Count)",RC-MYO-LIV120C30,"3,518",95,0.07%,0.12%,"5,301",134,0.08%,0.12%,64.21%,50.00%,587,16,16.69%,16.84%,"$20,537.25",$558.83,504,11
B012BSPHS8,B012BSPHS8,VetOne O3 Omega Soft Gel for Cats & Small Dogs - Essential Fatty Acid Support - Skin & Coat Supplement - 60 Capsules,RC-V1-510133,"1,824",31,0.04%,0.04%,"2,676",56,0.04%,0.05%,52.47%,75.00%,567,12,31.09%,38.71%,"$6,947.63",$147.84,485,9
B0D917HN9B,B0BBPJ4V7Q,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (24oz, 12 Count)",RC-PBL-118059,944,16,0.02%,0.02%,"1,145",20,0.02%,0.02%,99.59%,100.00%,562,5,59.53%,31.25%,"$24,902.32",$229.84,453,5
B0D917HN9B,B09NF9TM2H,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (12oz, 6 Count)",RC-PBL-115813,"4,832",84,0.10%,0.10%,"6,148",112,0.10%,0.10%,86.06%,79.63%,518,4,10.72%,4.76%,"$11,964.74",$91.88,452,3
B0DDQBT1TB,B0BBPYT5HH,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (24oz, 42 Count)",RC-PBL-118063,"1,219",18,0.03%,0.02%,"1,589",18,0.02%,0.02%,99.65%,100.00%,474,2,38.88%,11.11%,"$21,794.52",$91.96,449,2
B008C2P6XE,B008C2P6XE,Vet One Aurocin CM - Ear Cleanser w/Aloe (Cucumber Melon Scent) 8 oz,RC-V1-502029-1,"7,256",113,0.15%,0.14%,"10,858",163,0.17%,0.15%,14.99%,7.83%,472,9,6.50%,7.96%,"$7,318.00",$138.83,445,7
B00B2FCCDK,B00B2FCCDK,"White Knight 1304-1S-20AM Zinc 1/2""-20 Open-End Bulge Acorn Lug Nut, 20 Count (Pack of 1)",RB-WHT-1304-1S-20AM,"2,591",94,0.05%,0.12%,"3,698",127,0.06%,0.12%,97.65%,96.85%,512,52,19.76%,55.32%,"$6,482.01",$675.48,445,30
B09D279KB2,B00A2G28PC,"Myogenix Aftershock Post Workout, Muscle Growth Whey Protein Powder | Anabolic Whey Protein and Mass Building Carbohydrates | Amino Stack Creatine and Glutamine Plus BCAAs | Orange Creamsicle 6 LBS",RC-MYO-AFTORA582,"2,928",69,0.06%,0.08%,"4,125",100,0.06%,0.09%,74.64%,73.75%,438,5,14.96%,7.25%,"$39,412.82",$449.87,429,5
B0DGMN7QZY,B0BBPS53L3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (24oz, 18 Count)",RC-PBL-118060,908,19,0.02%,0.02%,"1,131",23,0.02%,0.02%,99.61%,100.00%,470,8,51.76%,42.11%,"$21,606.63",$367.80,408,3
B0D8841XMR,B0C9LLWYVK,"Solstice Inflatable Dog Float, Pup Plank Ramp for Pools, Boats & Docks, 220 Lbs, Blue/Grey",RB-SOL-33255,"240,234","3,158",4.99%,3.87%,"269,160","3,629",4.18%,3.32%,94.28%,96.52%,394,11,0.16%,0.35%,"$121,625.16","$3,462.49",394,11
B009T9Q2VO,B009T9Q2VO,"Vet One Vitamin K1 Chewable Tablets - Vitamin K1 for Dogs, Beef-Flavored Chewable Vitamins For Cats and Dogs (50 Tablets, Phytonadione 50mg)",RC-V1-610063,"4,160",107,0.09%,0.13%,"6,505",161,0.10%,0.15%,37.17%,57.76%,427,22,10.26%,20.56%,"$14,099.09",$674.96,389,14
B0CC3Z79S8,B0BVN3GWLR,Nadri Clip On Earrings for Women - Rhodium Plated Dangly Clip On Earrings With Cushion Cut Cubic Zirconia Stones - Jewelry for Women,RB-NAD-AL41679RCZ-MB,"12,244",171,0.25%,0.21%,"18,756",274,0.29%,0.25%,99.46%,80.25%,392,8,3.20%,4.68%,"$20,566.26",$439.92,389,8
B00B2FC50K,B00B2FC50K,"White Knight M12x1.50 Bulge Acorn Lug Nuts for Selective Aftermarket and Factory Wheels, Easy to Install, Durable Carbon Steel with Stylish Triple Layered Chrome Finish - 1707S-4AM (4 Pack)",RB-WHT-1707S-4,"8,414",127,0.17%,0.16%,"12,372",185,0.19%,0.17%,28.18%,36.89%,400,1,4.75%,0.79%,"$3,986.01",$9.99,387,1
B0DDQBT1TB,B0BBPS53L3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (24oz, 18 Count)",RC-PBL-118060,844,15,0.02%,0.02%,"1,103",17,0.02%,0.02%,99.80%,100.00%,455,8,53.91%,53.33%,"$20,919.56",$367.80,386,3
B0CLYS2FZ8,B00U1BUXXM,"Canine Caviar - Special Needs: Chicken & Brown Rice Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (22 Pound Bag)",RC-CAN-801124,"1,526",45,0.03%,0.06%,"1,978",55,0.03%,0.05%,84.17%,92.86%,395,4,25.88%,8.89%,"$40,936.11",$409.84,366,4
B0BBPS53L3,B0BBPS53L3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (24oz, 18 Count)",RC-PBL-118060,876,11,0.02%,0.01%,"1,274",15,0.02%,0.01%,99.73%,100.00%,407,3,46.46%,27.27%,"$18,713.82",$137.90,360,3
B0BVKSRG6H,B0848YNZCG,Nadri Teardrop Earrings for Women - Rhodium-Plated Dangle Earrings with Cubic Zirconia Stones - Elegant Wedding Jewelry - Hypoallergenic,RB-NAD-AO13952RCZ-MB,"14,954",223,0.31%,0.27%,"23,479",343,0.36%,0.31%,98.28%,84.06%,359,5,2.40%,2.24%,"$30,690.00",$450.00,357,4
B0827CP8H8,B0827CP8H8,VetOne O3 Omega Capsules Nutritional Supplement with Omega 3 Fatty Acids | Builds Immune & Joint Health | Promotes Healthy Skin & Coats | Large Dogs (250 Count Softgels),RC-V1-510132,"1,922",44,0.04%,0.05%,"2,935",64,0.05%,0.06%,47.44%,53.49%,372,3,19.35%,6.82%,"$14,013.47",$113.17,354,3
B0DJH1T1JC,B0D692ZW9X,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (36oz, 18 Count)",RB-PBL-124253,"1,366",31,0.03%,0.04%,"1,649",43,0.03%,0.04%,99.65%,100.00%,392,10,28.70%,32.26%,"$25,966.62",$659.12,349,8
B0DJH1T1JC,B0DG9Y8RKB,"Yummy Combs Dog Dental Treats – Vet VOHC Approved, Removes Tartar & Cleans Teeth – Yummy High Protein Chicken Treat for Medium Dogs (Mini Pack, 9 Count)",RC-PBL-125572,"2,382",31,0.05%,0.04%,"2,766",34,0.04%,0.03%,99.71%,100.00%,336,1,14.11%,3.23%,"$7,441.62",$22.69,327,1
B0C46YD6VC,B018DDJSCG,"Buddeez Large Food Storage Container - 3.75 Quart Sugar Buddy, All Purpose Clear Kitchen Organization and Storage - Sugar, Flour, Cereal, Rice Dispenser, EZ Pour Spout & Easy Grip Handle (White Lid)",RC-BUD-13606W-BAG,"5,951",119,0.12%,0.15%,"7,912",159,0.12%,0.15%,93.18%,87.90%,403,8,6.77%,6.72%,"$6,695.89",$132.74,324,7
B0CPM9FJZ1,B00B2FCAGY,"White Knight M12x1.50 Bulge Acorn Lug Nuts for Selective Aftermarket and Factory Wheels, Easy to Install, Durable Carbon Steel with Stylish Triple Layered Chrome Finish - 1707S-20AM (20 Pack)",RB-WK-1707S-20AM,"2,677",41,0.06%,0.05%,"4,122",52,0.06%,0.05%,99.11%,90.38%,337,15,12.59%,36.59%,"$6,044.64",$269.85,323,13
B0BVY9N8DH,B016QUFR6E,"Buddeez Large Food Storage Container - 8 Quart Pantry Buddy, All Purpose Clear Kitchen Organization and Storage - Cereal, Flour, Sugar, Rice Dispenser, EZ Pour Spout and Easy Grip Handle (White Lid)",RC-BUD-13804W-BAG,"6,136",128,0.13%,0.16%,"8,023",175,0.12%,0.16%,86.58%,91.78%,411,26,6.70%,20.31%,"$8,207.67",$545.35,313,13
B0CKM8JRWB,B08DVF445R,Virbac C.E.T. Aquadent Dental Solution for Dogs and Cats (500 ml),RC-VB-098474,"35,040",572,0.73%,0.70%,"53,077",839,0.82%,0.77%,0.40%,0.00%,345,2,0.98%,0.35%,"$8,086.91",$49.98,312,2
B09D279KB2,B003A8Z6V2,"MYOGENIX Aftershock Post Workout, Muscle Growth Whey Protein Powder | Wildberry Blast 3 LBS",RB-MYO-AFTWBB264,"3,190",66,0.07%,0.08%,"4,440",84,0.07%,0.08%,37.42%,40.68%,316,4,9.91%,6.06%,"$15,789.26",$199.88,309,4
B09SBTNXXY,B09SBTNXXY,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Camo/Gray",RC-SOL-033250,"32,341",462,0.67%,0.57%,"39,562",599,0.61%,0.55%,91.90%,97.08%,307,7,0.95%,1.52%,"$71,399.85","$1,540.00",306,7
B0CBQL1JC5,B0CB9GD5DL,ZENIDOG Long-Acting Collar-Dog Calming Pheromone Collar for Stress Relief - Lasts up to 3 Months by Virbac,RB-VB-119327,"2,924",48,0.06%,0.06%,"3,821",57,0.06%,0.05%,73.94%,73.68%,331,2,11.32%,4.17%,"$13,236.69",$79.98,305,1
B09RJKRMZ4,B09RJKRMZ4,Vet One NDC 13985-447-16,RC-V1-600185,"8,464",165,0.18%,0.20%,"13,966",266,0.22%,0.24%,15.90%,18.97%,324,3,3.83%,1.82%,"$10,893.33",$100.89,302,3
B0DJH1T1JC,B0DGB5SFR4,"Yummy Combs Dog Dental Treats – Vet VOHC Approved, Removes Tartar & Cleans Teeth – Yummy High Protein Chicken Treat for Extra Small Dogs (Mini Pack, 30 Count)",RC-PBL-125564,"2,347",36,0.05%,0.04%,"2,929",46,0.05%,0.04%,99.68%,100.00%,309,2,13.17%,5.56%,"$6,716.21",$45.38,302,2
B00B2FCAXW,B00B2FCAXW,"White Knight 1704S-20AM Chrome 1/2""-20 Bulge Acorn Lug Nut, 20 Pack",RB-WHT-1704S-20AM,"2,473",61,0.05%,0.07%,"3,604",79,0.06%,0.07%,97.36%,92.41%,321,12,12.98%,19.67%,"$6,057.81",$227.88,300,10
B0DDQBT1TB,B09NF8QT94,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (12oz, 15 Count)",RC-PBL-115817,"1,655",31,0.03%,0.04%,"2,260",40,0.04%,0.04%,12.53%,21.74%,347,6,20.97%,19.35%,"$8,553.67",$137.82,299,3
B09D279KB2,B003M2AHT2,"Myogenix Aftershock Post Workout, Muscle Growth Whey Protein Powder | Anabolic Whey Protein and Mass Building Carbohydrates | Amino Stack Creatine and Glutamine Plus BCAAs | Wildberry Blast 6 LBS",RC-MYO-AFTWBB582,"1,946",40,0.04%,0.05%,"2,710",42,0.04%,0.04%,60.61%,70.37%,305,2,15.67%,5.00%,"$27,442.24",$179.95,296,2
B09NB1XG6T,B09NB1XG6T,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (12oz, 48 Count)",RC-PBL-115807,784,10,0.02%,0.01%,"1,221",18,0.02%,0.02%,99.62%,100.00%,319,4,40.69%,40.00%,"$7,310.74",$91.88,294,4
B0BJ866VBH,B0BL1Y6FW6,"Buddeez Multi-Purpose Hardware Storage Bins Bits and Bolts Small Storage Containers, Hardware Organizers, Clear Containers With Blue Stackable Lids, Bolt and Screw Organizer (1 Quart - 12 Pack)",RC-BUD-04512B-FBA,"4,222",217,0.09%,0.27%,"5,768",316,0.09%,0.29%,96.13%,94.33%,342,43,8.10%,19.82%,"$18,452.27","$2,300.24",294,33
B0D9KGQR4W,B093XXY1RX,"Kimberbell Project Batting 19”x3 Yd Roll Cotton Poly Blend, Machine Washable, Cut into Variable Sizes, Gives Form, Provide A Barrier For: Machine Embroidery, Sewing, Quilting, Piecing Projects & More!",RB-KB-KDST138,"2,674",52,0.06%,0.06%,"3,387",63,0.05%,0.06%,98.60%,97.44%,331,2,12.38%,3.85%,"$9,918.58",$59.96,291,2
B09NCMGJCL,B09NCMGJCL,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (12oz, 21 Count)",RC-PBL-115816,857,11,0.02%,0.01%,"1,340",16,0.02%,0.01%,99.63%,100.00%,313,8,36.52%,72.73%,"$7,194.75",$183.76,291,6
B0947H4NWX,B093XXY1RX,"Kimberbell Project Batting 19”x3 Yd Roll Cotton Poly Blend, Machine Washable, Cut into Variable Sizes, Gives Form, Provide A Barrier For: Machine Embroidery, Sewing, Quilting, Piecing Projects & More!",RB-KB-KDST138,"2,286",36,0.05%,0.04%,"2,968",52,0.05%,0.05%,99.93%,100.00%,335,1,14.65%,2.78%,"$9,799.70",$29.98,288,1
B0BJ866VBH,B07TXYG584,"Buddeez Multi-Purpose Hardware Storage Bins Bits and Bolts Small Storage Containers, Hardware Organizers, Clear Containers With Blue Stackable Lids, Bolt and Screw Organizer (1 Quart - 8 Pack)",RC-BUD-04508B,"6,990",286,0.15%,0.35%,"9,750",422,0.15%,0.39%,96.24%,94.76%,307,26,4.39%,9.09%,"$12,789.13","$1,105.33",285,24
