(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0BF1929R2,B0BBPVC7XK,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (24oz, 96 Count)",RC-PBL-118064,"6,709",93,0.14%,0.11%,"8,656",126,0.13%,0.12%,99.13%,97.78%,"2,415",32,36.00%,34.41%,"$111,025.83","$1,471.26","2,335",31
B0BVKV1BBS,B0BY9LDC26,"Nadri Oval Stud Earrings - 18K Gold Plated Cubic Zirconia Earrings for Women, Bridesmaid Gifts for Wedding Day, Hypoallergenic Small Stud Earrings for women For Any Occasion",RB-NAD-AO40571GCZ-MB,"47,242",638,0.98%,0.78%,"64,703",872,1.00%,0.80%,99.92%,96.44%,"2,299",18,4.87%,2.82%,"$80,150.00",$630.00,"2,272",18
B0BL5CTWCX,B01MZAILC6,"Buddeez Bread Buddy Bread Box – White Lid, Pack of 2",RC-BUD-00102W-ONL,"15,554",218,0.32%,0.27%,"20,586",290,0.32%,0.27%,98.06%,97.01%,"2,124",19,13.66%,8.72%,"$44,944.85",$418.41,"2,083",17
B00C8RJ30Q,B00C8RJ30Q,Vet One DuoClenz EnzymeCoated Dog Dental Hygiene Chews for Small Dogs - Clean Teeth & Freshen Breath - 30 Count,RC-V1-510057-1,"6,892",119,0.14%,0.15%,"9,838",179,0.15%,0.16%,28.70%,37.27%,"2,771",13,40.21%,10.92%,"$39,916.71",$185.27,"2,053",13
B0019HJMMK,B0019HJMMK,"Buddeez Bulk Food Storage Container - 8 Quart All Purpose Clear & Large Pantry and Kitchen Organization and Storage - Cereal, Flour, Sugar, Rice Dispenser, EZ Grip Handle, EZ Pour Spout (White Lid)",RC-BUD-00806W-BAG,"14,684",362,0.31%,0.44%,"20,659",507,0.32%,0.46%,72.88%,65.92%,"2,404",85,16.37%,23.48%,"$49,418.49","$1,712.45","2,019",49
B0BF1929R2,B09NF9TM2H,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (12oz, 6 Count)",RC-PBL-115813,"25,433",410,0.53%,0.50%,"32,161",505,0.50%,0.46%,96.90%,97.85%,"2,118",18,8.33%,4.39%,"$48,692.62",$413.62,"1,916",18
B0D92J4N4N,B00C8RJ30Q,Vet One DuoClenz EnzymeCoated Dog Dental Hygiene Chews for Small Dogs - Clean Teeth & Freshen Breath - 30 Count,RC-V1-510057-1,"10,008",170,0.21%,0.21%,"14,791",239,0.23%,0.22%,22.27%,21.35%,"2,663",14,26.61%,8.24%,"$35,225.72",$188.10,"1,911",9
B005JTY9RW,B005JTY9RW,"Vet One Vitamin K1 Chewable Tablets - Vitamin K1 for Dogs, Beef-Flavored Chewable Vitamins for Cats and Dogs (50 Tablets, Phytonadione 25mg)",RC-V1-610062,"11,919",365,0.25%,0.45%,"19,446",574,0.30%,0.53%,36.55%,49.31%,"1,877",80,15.75%,21.92%,"$38,197.09","$1,640.68","1,726",54
B0BWLP5NDS,B0CPHNP1CQ,Advanced Soft Chews Hip and Joint Support Supplement for Large Dogs - Movoflex 120 Count by Virbac,RC-VB-118164-2pk,"8,118",216,0.17%,0.26%,"10,028",274,0.16%,0.25%,97.43%,97.76%,"1,744",42,21.48%,19.44%,"$244,639.40","$5,903.18","1,709",41
B0DJH1T1JC,B09NF8L5Q4,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (12oz, 9 Count)",RC-PBL-115812,"7,566",86,0.16%,0.11%,"9,408",98,0.15%,0.09%,72.52%,73.47%,"1,891",13,24.99%,15.12%,"$45,478.63",$304.67,"1,698",12
